# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	269784
#@/user_id	a7db7ad9-a2db-4db2-a47e-500434d77068
a 	啊	c=2024 d=2.69461 t=269624
wen jia jia 	文佳佳	c=1 d=1 t=101932
wen jian 	文件	c=202 d=1.02754 t=263114
wen jian jia 	文件夹	c=27 d=1 t=248546
wen jian liu 	文件流	c=1 d=1 t=21123
wen jian ming 	文件名	c=6 d=1.14086 t=261220
wen jian ming zi 	文件名字	c=1 d=1 t=120167
wen ju bang shou 	稳居榜首	c=1 d=1 t=3976
wen ku 	文库	c=1 d=1 t=118828
wen li 	纹理	c=14 d=1.39711 t=260682
wen ni 	问你	c=4 d=1 t=146520
wen ni men 	问你们	c=1 d=1 t=125013
wen nuan 	温暖	c=3 d=1.00003 t=29809
wen ping 	文凭	c=7 d=1 t=44407
wen qi 	问起	c=0 d=0.1 t=28834
wen qing chu 	问清楚	c=7 d=1 t=113349
wen quan 	温泉	c=1 d=1 t=21898
wen re 	温热	c=2 d=1.01405 t=2459
wen rou 	温柔	c=3 d=1 t=241857
wen shen 	纹身	c=1 d=1 t=176835
wen shu yuan 	文殊院	c=1 d=1 t=90104
wen shui 	温水	c=1 d=1 t=151733
wen ta 	问她	c=2 d=1 t=110298
wen ti 	问题	c=1460 d=3.7472 t=269661
wen ti lv 	问题率	c=3 d=1 t=157544
wen ti mei 	问题没	c=1 d=1 t=227451
wen ti o 	问题哦	c=1 d=1 t=136848
wen ti ri 	问题日	c=1 d=1 t=264729
wen ti shi 	问题是	c=2 d=1.94176 t=195982
wen tui 	问退	c=6 d=1 t=269330
wen tuo 	稳妥	c=2 d=1 t=216232
wen tuo dian 	稳妥点	c=1 d=1 t=216212
wen wen 	问问	c=70 d=2.87882 t=268215
wen wen 	闻闻	c=1 d=1 t=36360
wen wo 	问我	c=3 d=1 t=210712
wen xi 	温习	c=1 d=1 t=112918
wen xia 	问下	c=133 d=1 t=269701
wen xiang ye 	蚊香液	c=1 d=1 t=194358
wen xin 	文心	c=3 d=1 t=243811
wen xin 	温馨	c=3 d=1 t=257778
wen xin yi 	温心怡	c=0 d=0.1 t=127727
wen xin yi ya 	温心怡呀	c=1 d=1 t=127728
wen xin yi yan 	文心一言	c=10 d=1 t=257229
wen yi 	文艺	c=1 d=1 t=2439
wen yi dian 	稳一点	c=2 d=1 t=35669
wen yi xia 	问一下	c=1 d=1 t=18081
wen zhang 	文章	c=6 d=1.0014 t=192383
wen zi 	文字	c=11 d=1 t=234491
wo 	我	c=11319 d=7.17635 t=269756
wo 	握	c=1 d=1 t=90450
wo 	窝	c=3 d=1 t=139990
wo bao er 	我宝儿	c=1 d=1 t=228369
wo bian cao 	窝边草	c=1 d=1 t=108667
wo bu xiao de 	我不晓得	c=1 d=1 t=58875
wo cao 	卧槽	c=2 d=1 t=142772
wo cao 	我艹	c=1 d=1 t=123925
wo dao 	我到	c=2 d=1 t=66409
wo dao shi hou 	我到时候	c=1 d=1 t=125078
wo de 	我的	c=1 d=1 t=76745
wo en 	我嗯	c=1 d=1 t=24498
wo en en 	我嗯嗯	c=2 d=1 t=259764
wo en en suo jie en mei 	我嗯嗯索杰恩没	c=1 d=1 t=185182
wo er lun wen 	我二论文	c=1 d=1 t=236787
wo er ma 	沃尔玛	c=0 d=0.1 t=231802
wo er ma ni 	沃尔玛你	c=1 d=1 t=231803
wo er ri sha 	我二日啥	c=1 d=1 t=47799
wo he 	我喝	c=1 d=1 t=226230
wo hou mian 	我后面	c=1 d=1 t=30168
wo hui lai 	我回来	c=1 d=1 t=119004
wo huo 	喔霍	c=2 d=1 t=169991
wo kan kan 	我看看	c=1 d=1 t=83402
wo me 	我么	c=1 d=1 t=267191
wo me meng nan 	我么猛男	c=2 d=1 t=245970
wo mei ci 	我每次	c=1 d=1 t=105216
wo mei you 	我没有	c=2 d=1 t=56061
wo mei you kuai di 	我没有快递	c=1 d=1 t=52259
wo men 	我们	c=1394 d=2.3003 t=269471
wo men bu 	我们不	c=1 d=1 t=226446
wo men mei 	我们没	c=1 d=1 t=75946
wo ming tian 	我明天	c=1 d=1 t=4117
wo pa 	我怕	c=46 d=1.07354 t=268981
wo pin ming 	我拼命	c=3 d=1 t=221198
wo ren shi 	我认识	c=1 d=1 t=132524
wo shi 	卧室	c=10 d=1.97531 t=220442
wo shi 	我是	c=1 d=1 t=116880
wo shuo 	我说	c=1 d=1 t=52539
wo sun 	莴笋	c=2 d=1 t=84172
wo wan shang hui lai 	我晚上回来	c=1 d=1 t=91362
wo wen 	我问	c=1 d=1 t=170294
wo wo tou 	窝窝头	c=1 d=1 t=147150
wo xiang 	我想	c=1 d=1 t=194897
wo xiao de 	我晓得	c=2 d=1 t=233553
wo xie 	我写	c=1 d=1 t=170724
wo xing wo su 	我行我素	c=4 d=1.94649 t=5126
wo yao 	我要	c=1 d=1 t=90404
wo ye 	我也	c=1 d=1 t=259445
wo ye shi 	我也是	c=2 d=1 t=136250
wo you 	我又	c=1 d=1 t=220185
wo zhe bian 	我这边	c=2 d=1 t=167766
wu 	五	c=20 d=1.98511 t=231614
wu 	吴	c=1 d=1 t=247783
wu 	无	c=54 d=1 t=265577
wu ban quan 	无版权	c=1 d=1 t=40723
wu bei zi 	五倍子	c=1 d=1 t=246485
wu bian kuang 	无边框	c=1 d=1 t=110998
wu cai ban lan 	五彩斑斓	c=3 d=2.77782 t=5014
wu cha 	误差	c=2 d=1 t=184097
wu dao 	舞蹈	c=5 d=1 t=245166
wu dao ren 	误导人	c=1 d=1 t=245167
wu di dong 	无底洞	c=1 d=1 t=82432
wu di shou 	无敌手	c=1 d=1 t=3854
wu di xian 	无底线	c=1 d=1 t=254377
wu ding qi 	无定期	c=1 d=1 t=229097
wu er 	无二	c=0 d=0.1 t=5248
wu er ci 	五二次	c=1 d=1 t=5176
wu er ci 	无二次	c=1 d=1 t=5249
wu fa 	无法	c=19 d=1 t=262891
wu fan 	午饭	c=8 d=1 t=259596
wu feng xian jie 	无缝衔接	c=1 d=1 t=266690
wu ge 	五个	c=8 d=1 t=261070
wu gou 	污垢	c=1 d=1 t=165476
wu gu ding 	无固定	c=3 d=1.84789 t=223571
wu gu ding qi 	无固定期	c=1 d=1 t=229060
wu guan 	无关	c=2 d=1 t=242653
wu guan 	物管	c=1 d=1 t=185926
wu guan xi 	无关系	c=3 d=1 t=245245
wu hou 	武侯	c=1 d=1 t=191218
wu hua ba men 	五花八门	c=1 d=1 t=17486
wu hui 	误会	c=4 d=1.98511 t=166843
wu ji er zhong 	无疾而终	c=1 d=1 t=240293
wu jia er 	五加二	c=1 d=1 t=1790
wu jian 	物件	c=1 d=1 t=247324
wu jiao 	午觉	c=1 d=1 t=66886
wu jie 	误解	c=2 d=1 t=77914
wu jing yan 	无经验	c=3 d=2.82868 t=107433
wu kuai 	五块	c=1 d=1 t=15516
wu li 	物理	c=11 d=2.68779 t=266015
wu li yin qing 	物理引擎	c=3 d=1 t=120631
wu li yue shu 	物理约束	c=1 d=1 t=265975
wu liao 	无聊	c=19 d=1 t=247365
wu lie 	五裂	c=1 d=1 t=55364
wu ling chun 	武陵春	c=0 d=0.1 t=27522
wu ling chun se 	武陵春色	c=1 d=1 t=27523
wu long 	乌龙	c=1 d=1 t=36080
wu ming 	无名	c=1 d=1 t=197587
wu ming tu shu 	无名图书	c=1 d=1 t=110530
wu nai 	无奈	c=1 d=1 t=250652
wu neng wei li 	无能为力	c=1 d=1 t=105751
wu nv 	巫女	c=1 d=1 t=194284
wu pin 	物品	c=48 d=1 t=253528
wu qi 	无期	c=1 d=1 t=54077
wu qi 	武器	c=4 d=1 t=235333
wu qi ba zao 	乌七八糟	c=1 d=1 t=119370
wu ran 	污染	c=1 d=1 t=181958
wu re 	捂热	c=1 d=1 t=38314
wu ren wei 	误认为	c=1 d=1 t=45841
wu shi 	无视	c=2 d=1.76338 t=5028
wu shu 	无数	c=1 d=1 t=83382
wu shu ge 	无数个	c=1 d=1 t=95871
wu shu kuai 	无数块	c=1 d=1 t=27673
wu shui 	污水	c=0 d=0.1 t=39500
wu shui wei 	污水为	c=1 d=1 t=39501
wu suo wei 	无所谓	c=3 d=1 t=136971
wu wu wu 	呜呜呜	c=5 d=1 t=259546
wu wu wu wu 	五五五五	c=1 d=1 t=129447
wu wu wu wu 	呜呜呜呜	c=2 d=1.00003 t=136020
wu xi 	无息	c=1 d=1 t=118094
wu xian 	无限	c=6 d=1 t=232718
wu xian ci 	无限次	c=1 d=1 t=118469
wu xian da zhao 	无限大招	c=1 d=1 t=30245
wu xiang ying 	无响应	c=2 d=1.04138 t=152514
wu xiao 	无效	c=1 d=1 t=135075
wu xiao qu 	五小区	c=6 d=1.42741 t=84403
wu xiu 	午休	c=2 d=1 t=224849
wu xu 	无序	c=0 d=0.1 t=196952
wu xu 	无须	c=1 d=1 t=4491
wu xu e de 	无序饿得	c=1 d=1 t=196953
wu yang yang 	乌泱泱	c=1 d=1 t=7328
wu ye 	物业	c=6 d=1 t=226192
wu ye fei 	物业费	c=2 d=1 t=231272
wu ye hen 	物业很	c=1 d=1 t=163585
wu yi 	五一	c=9 d=1 t=228799
wu yi 	无疑	c=2 d=1 t=95382
wu yi shi 	无意识	c=2 d=1.92312 t=103083
wu yong 	无用	c=3 d=1 t=250055
wu yu 	无语	c=3 d=1 t=172668
wu yuan 	无缘	c=1 d=1 t=27195
wu yue 	五月	c=5 d=1 t=95045
wu yue fen 	五月份	c=2 d=1 t=4306
wu zhi jing 	无止境	c=1 d=1 t=176647
wu zhong 	物种	c=1 d=1 t=717
wu zhuan pan 	五转盘	c=10 d=1 t=262825
wu zi li 	屋子里	c=2 d=1 t=198030
wu zi qi 	五子棋	c=1 d=1 t=167374
xi 	吸	c=4 d=1 t=177149
xi 	洗	c=27 d=1.00331 t=267090
xi 	西	c=5 d=1 t=252614
xi an 	西安	c=1 d=1 t=54143
xi ba lian 	洗把脸	c=1 d=1 t=254349
xi bai bai 	洗白白	c=1 d=1 t=84555
xi bian 	西边	c=3 d=1 t=94542
xi cheng 	戏称	c=1 d=1 t=77367
xi ci 	西祠	c=1 d=1 t=227675
xi di 	西堤	c=2 d=1.99501 t=29405
xi fa shui 	洗发水	c=1 d=1 t=221824
xi fan 	稀饭	c=22 d=1 t=263302
xi fang 	西方	c=7 d=1 t=228470
xi fu 	媳妇	c=13 d=1 t=266886
xi ge 	茜哥	c=7 d=1 t=242970
xi gou 	析构	c=6 d=1 t=260883
xi gua 	西瓜	c=1 d=1 t=184958
xi guan 	习惯	c=12 d=1 t=266794
xi guan dao 	习惯到	c=1 d=1 t=1424
xi guan ge 	习惯个	c=1 d=1 t=13896
xi guan xing 	习惯性	c=1 d=1 t=1448
xi hong shi 	西红柿	c=1 d=1 t=89253
xi hu 	西湖	c=1 d=1 t=29409
xi hua 	细化	c=1 d=1 t=9078
xi huan 	喜欢	c=86 d=2.28436 t=247424
xi huan chi 	喜欢吃	c=1 d=1 t=41232
xi ji 	袭击	c=1 d=1 t=248460
xi jie 	细节	c=8 d=1 t=210960
xi le 	喜乐	c=1 d=1 t=77212
xi li hu tu 	稀里糊涂	c=2 d=1 t=22865
xi li hua la 	稀里哗啦	c=4 d=1.94799 t=2492
xi lian 	洗脸	c=7 d=1.96079 t=185463
xi lie 	系列	c=13 d=1.44486 t=266321
xi men 	西门	c=3 d=1 t=189740
xi mie 	熄灭	c=1 d=1 t=1370
xi nao 	洗脑	c=1 d=1 t=85505
xi ni 	细腻	c=1 d=1 t=22604
xi niu 	犀牛	c=11 d=1.44057 t=269120
xi ou 	西欧	c=0 d=0.1 t=115461
xi ou an pai de 	西欧安排的	c=1 d=1 t=115462
xi ou gan 	洗偶感	c=1 d=1 t=165647
xi pan 	吸盘	c=2 d=1 t=196577
xi qu 	吸取	c=1 d=1 t=93396
xi qu 	西区	c=5 d=1 t=246616
xi que 	稀缺	c=2 d=1 t=34294
xi ru 	吸入	c=2 d=1 t=120309
xi shi 	西施	c=1 d=1 t=226584
xi shu 	洗漱	c=3 d=1 t=173902
xi shu 	系数	c=10 d=3.01729 t=185649
xi shui chang liu 	细水长流	c=2 d=1.00354 t=2442
xi ta 	西塔	c=1 d=1 t=103165
xi tong 	系统	c=241 d=1.00001 t=266346
xi tong dui 	系统对	c=4 d=1 t=218610
xi tong teng 	系统疼	c=1 d=1 t=131435
xi tong yun 	系统云	c=1 d=1 t=230636
xi tou 	洗头	c=20 d=1 t=262319
xi tou fa 	洗头发	c=1 d=1 t=60782
xi wan 	洗完	c=1 d=1 t=226725
xi wan 	洗碗	c=2 d=1 t=146042
xi wan shui 	洗碗水	c=1 d=1 t=2723
xi wan tou 	洗完头	c=1 d=1 t=144382
xi wan zao 	洗完澡	c=2 d=1.98511 t=37746
xi wang 	希望	c=49 d=1 t=262726
xi wei 	细微	c=1 d=1 t=85630
xi xi 	嘻嘻	c=465 d=1.18272 t=266917
xi xi 	嬉戏	c=2 d=1.00011 t=29470
xi xi xi 	嘻嘻嘻	c=6 d=1 t=232073
xi xiang 	细想	c=2 d=1 t=101228
xi xiao 	细小	c=1 d=1 t=173538
xi xin dian 	细心点	c=1 d=1 t=174413
xi xu 	唏嘘	c=0 d=0.1 t=255870
xi xu gai 	唏嘘改	c=1 d=1 t=255871
xi xue gui 	吸血鬼	c=2 d=1 t=257851
xi ya 	洗牙	c=3 d=1 t=89018
xi yang 	夕阳	c=1 d=1 t=18456
xi yang lou 	西洋楼	c=10 d=1 t=60536
xi yao 	西药	c=1 d=1 t=40769
xi yi fu 	洗衣服	c=1 d=1 t=248959
xi yi fu zuo fan 	洗衣服做饭	c=1 d=1 t=53460
xi yi ji 	洗衣机	c=2 d=1 t=189013
xi yi wei chang 	习以为常	c=1 d=1 t=2397
xi yin 	吸引	c=2 d=1 t=90136
xi you ji 	西游记	c=2 d=1.99501 t=182036
xi you zhi 	吸油纸	c=2 d=1 t=94220
xi zang 	西藏	c=7 d=1 t=250446
xi zao 	洗澡	c=4 d=1 t=233716
xi zhan 	西站	c=6 d=1.60425 t=73388
xi zhi 	细致	c=0 d=0.1 t=38402
xi zi ru jin 	惜字如金	c=2 d=1 t=156543
xia 	下	c=1311 d=2.09272 t=269758
xia 	吓	c=4 d=1 t=260486
xia 	瞎	c=6 d=1 t=249278
xia 	霞	c=1 d=1 t=77600
xia ba 	下吧	c=2 d=1 t=189229
xia ba 	下巴	c=3 d=1 t=166535
xia ban 	下班	c=233 d=1.12426 t=267315
xia ban ge yue 	下半个月	c=1 d=1 t=191347
xia ban la 	下班啦	c=2 d=1 t=116136
xia ban nian 	下半年	c=31 d=1 t=240135
xia ban qian 	下班前	c=3 d=1 t=197067
xia ban shen 	下半身	c=1 d=1 t=86126
xia ban xia ban 	下班下班	c=1 d=1 t=16278
xia bei zi 	下辈子	c=2 d=1.13266 t=22375
xia biao 	下标	c=5 d=1.14808 t=89492
xia biao 	下表	c=6 d=1.15032 t=89491
xia bo 	下拨	c=1 d=1 t=169579
xia bu qu 	下不去	c=2 d=1 t=249164
xia ceng 	下层	c=2 d=1 t=129918
xia che 	下车	c=4 d=1 t=183727
xia che 	瞎扯	c=5 d=1 t=68249
xia che dan 	瞎扯淡	c=1 d=1 t=119557
xia ci 	下次	c=144 d=1 t=268769
xia da yu 	下大雨	c=3 d=1 t=147115
xia dan 	下单	c=1 d=1 t=59127
xia di tie 	下地铁	c=3 d=1.86071 t=243716
xia dian 	下点	c=1 d=1 t=123395
xia en ai mei 	下恩爱没	c=1 d=1 t=241825
xia fa 	下发	c=1 d=1 t=210135
xia fa gei 	下发给	c=1 d=1 t=87087
xia fan 	下饭	c=1 d=1 t=60747
xia fan shen qi 	下饭神器	c=1 d=1 t=41343
xia fang 	下方	c=2 d=1 t=91159
xia ge 	下个	c=5 d=1 t=260392
xia ge yue 	下个月	c=25 d=1 t=265225
xia guo 	下过	c=1 d=1 t=113450
xia guo 	下锅	c=1 d=1 t=35610
xia guo tu 	下过图	c=1 d=1 t=255522
xia hua xian 	下划线	c=5 d=1 t=166012
xia ji ba 	瞎几把	c=4 d=1 t=249529
xia jia 	下家	c=4 d=2.66223 t=198546
xia jia 	下架	c=1 d=1 t=54451
xia jiang 	下降	c=1 d=1 t=17069
xia la 	下拉	c=2 d=1 t=254595
xia lai 	下来	c=33 d=1 t=255475
xia lao shi 	下落时	c=1 d=1 t=198640
xia lou 	下楼	c=1 d=1 t=243695
xia lou qu 	下楼去	c=1 d=1 t=43788
xia lu 	下路	c=1 d=1 t=69317
xia mang 	瞎忙	c=2 d=1.90937 t=164772
xia men 	厦门	c=1 d=1 t=61449
xia mian 	下面	c=73 d=1 t=262211
xia ou o 	下区哦	c=1 d=1 t=251629
xia ou xiao ou 	辖区小区	c=1 d=1 t=219268
xia qi 	下棋	c=1 d=1 t=194574
xia qi lai 	下起来	c=1 d=1 t=95274
xia qing su 	虾青素	c=22 d=1.2822 t=88163
xia qu 	下去	c=38 d=1 t=258561
xia ren 	吓人	c=3 d=1 t=241861
xia ri 	夏日	c=1 d=1 t=141143
xia shan 	下山	c=2 d=1 t=178993
xia shu zhi 	下数值	c=1 d=1 t=43456
xia shui 	下水	c=1 d=1 t=7301
xia shui dao 	下水道	c=2 d=1 t=220548
xia shuo 	瞎说	c=1 d=1 t=190204
xia si 	吓死	c=4 d=1 t=265918
xia tian 	夏天	c=13 d=1 t=267550
xia tiao 	下调	c=4 d=3.86859 t=231431
xia tou 	下头	c=1 d=1 t=98621
xia tu 	下图	c=1 d=1 t=26190
xia wen 	下文	c=1 d=1 t=201345
xia wu 	下午	c=124 d=1.00595 t=266452
xia wu cha 	下午茶	c=4 d=1 t=254315
xia wu ji dian 	下午几点	c=1 d=1 t=170956
xia xia 	下下	c=3 d=1 t=135559
xia xia ge yue 	下下个月	c=2 d=1 t=226378
xia xia zhou 	下下周	c=2 d=1 t=264896
xia xue 	下雪	c=1 d=1 t=9406
xia yi ci 	下一次	c=18 d=1 t=252299
xia yi dun 	下一顿	c=1 d=1 t=119449
xia yi ge 	下一个	c=18 d=1 t=248157
xia yi guan 	下一关	c=10 d=1 t=217198
xia yi hang 	下一行	c=2 d=1 t=254585
xia yi jia 	下一家	c=1 d=1 t=215766
xia yi lun 	下一轮	c=2 d=1 t=68683
xia yi mian 	下一面	c=1 d=1 t=247115
xia yi tiao 	下一条	c=1 d=1 t=120967
xia yi ye 	下一页	c=1 d=1 t=247643
xia yi zhou 	下一周	c=1 d=1 t=268633
xia yong 	瞎用	c=1 d=1 t=71412
xia yu 	下雨	c=37 d=1 t=263282
xia yu tian 	下雨天	c=1 d=1 t=262862
xia yue 	下月	c=0 d=0.1 t=235051
xia yue ge 	下月个	c=1 d=1 t=235052
xia zai 	下载	c=26 d=2.50949 t=266815
xia zhou 	下周	c=137 d=1.39349 t=269212
xia zhou wu 	下周五	c=1 d=1 t=266641
xia zhou yi 	下周一	c=2 d=1 t=109134
xia zi 	瞎子	c=4 d=1.7158 t=223707
xian 	仙	c=7 d=2.7872 t=158046
xian 	先	c=550 d=1.39064 t=268665
xian 	现	c=11 d=1.00013 t=263330
xian 	线	c=27 d=1.00095 t=251076
xian 	闲	c=2 d=1 t=226265
xian ai xin 	献爱心	c=1 d=1 t=216242
xian ba 	先把	c=11 d=1 t=210781
xian bao zheng 	先保证	c=1 d=1 t=123601
xian bu guan 	先不管	c=1 d=1 t=49676
xian bu xia lai 	闲不下来	c=1 d=1 t=135944
xian bu xian shi 	显不显示	c=1 d=1 t=174682
xian cai 	咸菜	c=6 d=1 t=249933
xian chang 	现场	c=11 d=1.00009 t=161874
xian cheng 	县城	c=2 d=1 t=187559
xian cheng 	现成	c=2 d=1 t=212636
xian cheng 	线程	c=26 d=4.16151 t=197871
xian chi 	先吃	c=2 d=1 t=165176
xian chi dian 	先吃点	c=3 d=1 t=177657
xian chu ge 	先出个	c=1 d=1 t=137557
xian chu lai 	现出来	c=2 d=1 t=145159
xian dai 	现代	c=1 d=1 t=239802
xian de 	显得	c=1 d=1 t=199210
xian de dan teng 	闲得蛋疼	c=1 d=1 t=138243
xian deng xia 	先等下	c=1 d=1 t=68540
xian dian 	限电	c=1 d=1 t=200031
xian er 	馅儿	c=4 d=1.10419 t=220896
xian er yi jian 	显而易见	c=1 d=1 t=157782
xian fang qi 	先放弃	c=1 d=1 t=27537
xian gei 	先给	c=3 d=1.99501 t=179910
xian hou 	先后	c=4 d=1 t=227713
xian hua 	鲜花	c=1 d=1 t=1764
xian hui qu 	先回去	c=8 d=1 t=184660
xian huo 	鲜活	c=1 d=1 t=311
xian jian zhi ming 	先见之明	c=1 d=1 t=234060
xian jie 	衔接	c=3 d=1 t=209424
xian jin 	现金	c=4 d=1 t=212689
xian jing 	陷阱	c=2 d=1.6157 t=28994
xian ka 	显卡	c=1 d=1 t=234347
xian ka la kun lun 	先喀喇昆仑	c=1 d=1 t=247600
xian mang 	先忙	c=4 d=1 t=135588
xian mian 	限免	c=2 d=1 t=226884
xian mu 	羡慕	c=12 d=1 t=247279
xian nai 	鲜奶	c=1 d=1 t=113819
xian ni ya 	仙尼亚	c=1 d=1 t=115978
xian nv shan 	仙女山	c=2 d=1.33121 t=70987
xian qi 	嫌弃	c=5 d=1.91851 t=104355
xian qi a 	嫌弃啊	c=1 d=1 t=9825
xian qian 	先前	c=15 d=1 t=266493
xian qu 	先去	c=3 d=1 t=169857
xian qu 	先驱	c=1 d=1 t=119512
xian que ding 	先确定	c=1 d=1 t=266456
xian que ren 	先确认	c=1 d=1 t=211661
xian ru 	陷入	c=3 d=1 t=85556
xian ru wei zhu 	先入为主	c=1 d=1 t=135389
xian shang 	线上	c=64 d=1.04929 t=265867
xian shi 	显示	c=131 d=1 t=266276
xian shi 	现实	c=2 d=1 t=216100
xian shi ping 	显示屏	c=1 d=1 t=108575
xian shi qi 	显示器	c=2 d=1 t=27206
xian shi shi 	先试试	c=1 d=1 t=96711
xian shui jiao 	先睡觉	c=5 d=1 t=198808
xian su 	限速	c=2 d=1 t=86603
xian tiao 	线条	c=0 d=0.1 t=183030
xian tiao kuai 	线条快	c=1 d=1 t=183031
xian xia 	线下	c=3 d=1.00232 t=56722
xian xia 	闲暇	c=1 d=1 t=193021
xian xia lai 	闲下来	c=1 d=1 t=253420
xian xiang 	现象	c=3 d=1.92774 t=52149
xian xing 	先行	c=2 d=1.3624 t=164034
xian yan 	显眼	c=0 d=0.1 t=21636
xian yan bao 	显眼宝	c=1 d=1 t=21637
xian yi 	嫌疑	c=1 d=1 t=5057
xian you 	现有	c=9 d=1.96561 t=269397
xian yu 	闲鱼	c=11 d=1.00001 t=60625
xian za 	闲杂	c=1 d=0.1 t=210971
xian za shi 	闲杂是	c=1 d=1 t=210972
xian zai 	现在	c=963 d=1.8511 t=269715
xian zhao 	先找	c=1 d=1 t=32587
xian zhi 	限制	c=13 d=1.00016 t=267749
xian zhi a 	限制啊	c=12 d=1 t=247595
xian zhi yu 	限制于	c=1 d=1 t=8952
xian zi 	仙子	c=2 d=1 t=180411
xiang 	像	c=65 d=1 t=266777
xiang 	向	c=11 d=1 t=228061
xiang 	想	c=543 d=1.00096 t=269394
xiang 	相	c=1 d=1 t=65599
xiang 	翔	c=1 d=1 t=156077
xiang 	项	c=1 d=1 t=6082
xiang 	香	c=11 d=1 t=253993
xiang ai 	相爱	c=2 d=1 t=225655
xiang ban fa 	想办法	c=9 d=1 t=229980
xiang ban tian 	想半天	c=1 d=1 t=31980
xiang bao bao 	想抱抱	c=1 d=1 t=162600
xiang bi 	相比	c=4 d=1 t=58382
xiang bi ru 	想比如	c=1 d=1 t=28494
xiang bu chu 	想不出	c=2 d=1 t=187145
xiang bu dao 	想不到	c=1 d=1 t=179594
xiang bu kai 	想不开	c=1 d=1 t=79317
xiang bu tong 	想不通	c=1 d=1 t=118371
xiang bu xiang 	想不想	c=15 d=1 t=176413
xiang bu xiang 	香不香	c=1 d=1 t=79391
xiang bu xiang chi 	想不想吃	c=1 d=1 t=41070
xiang bu xiang qu 	想不想去	c=2 d=1 t=102638
xiang bu xiang yao 	想不想要	c=1 d=1 t=63186
xiang ce 	相册	c=1 d=1 t=27315
xiang cha 	相差	c=16 d=1 t=231788
xiang chang 	香肠	c=3 d=1 t=58223
xiang che di 	想彻底	c=1 d=1 t=230712
xiang chi 	想吃	c=48 d=1.02573 t=246338
xiang chi fan 	想吃饭	c=2 d=1 t=198272
xiang chi sha 	想吃啥	c=3 d=1 t=235741
xiang chu 	相处	c=1 d=1 t=66179
xiang chu lai 	想出来	c=1 d=1 t=145160
xiang chu qu 	想出去	c=2 d=1 t=42949
xiang cuo 	想错	c=1 d=1 t=123926
xiang dang yu 	相当于	c=46 d=1 t=260017
xiang dao 	想到	c=27 d=1 t=250222
xiang dao ni 	想到你	c=1 d=1 t=106566
xiang de 	想得	c=5 d=1 t=195815
xiang de 	想的	c=3 d=1 t=114560
xiang deng 	相等	c=1 d=1 t=259878
xiang dian 	想点	c=1 d=1 t=20593
xiang dian shi 	像电视	c=1 d=1 t=90078
xiang dui 	相对	c=2 d=1 t=207117
xiang dui yu 	相对于	c=4 d=1 t=253348
xiang duo 	想多	c=1 d=1 t=39788
xiang fa 	想法	c=53 d=1.97531 t=267913
xiang fang qi 	想放弃	c=1 d=1 t=27538
xiang gan ma 	想干嘛	c=2 d=1.85214 t=81177
xiang gan sha 	想干啥	c=1 d=1 t=106228
xiang gang 	香港	c=1 d=1 t=171940
xiang ge 	像个	c=1 d=1 t=254262
xiang ge 	相隔	c=2 d=1 t=47609
xiang gei 	想给	c=6 d=1 t=179908
xiang guan 	相关	c=40 d=2.59898 t=260065
xiang guan du 	相关度	c=1 d=1 t=212446
xiang guo 	想过	c=6 d=1 t=203485
xiang hao 	想好	c=4 d=1 t=66028
xiang he 	想和	c=3 d=1.00003 t=63508
xiang he 	想喝	c=6 d=1 t=196189
xiang he ni 	想和你	c=0 d=0.1 t=60807
xiang he ni qu 	想和你去	c=1 d=1 t=60808
xiang hu 	相互	c=6 d=1 t=139197
xiang huan ge 	想换个	c=2 d=1 t=266752
xiang hui lai 	想回来	c=2 d=1.05901 t=208522
xiang ji 	相机	c=10 d=1 t=245767
xiang jia 	相加	c=2 d=1.98511 t=93147
xiang jia mo shi 	相加模式	c=1 d=1 t=9986
xiang jian he tai ji 	相煎何太急	c=1 d=1 t=56525
xiang jiao 	相交	c=4 d=2.9925 t=214532
xiang jiao 	香蕉	c=1 d=1 t=99954
xiang jin 	相近	c=1 d=1 t=191404
xiang jing ru bin 	相敬如宾	c=1 d=1 t=77276
xiang kan 	想看	c=4 d=1 t=247020
xiang kan kan 	想看看	c=4 d=1 t=263973
xiang kan xia 	想看下	c=1 d=1 t=118471
xiang ke 	相克	c=2 d=1 t=49225
xiang kuang 	相框	c=1 d=1 t=127500
xiang la 	香辣	c=1 d=1 t=42155
xiang lai 	向来	c=1 d=1 t=450
xiang lai 	想来	c=5 d=1 t=229935
xiang le 	享乐	c=1 d=1 t=28969
xiang lian 	项链	c=1 d=1 t=62436
xiang ma ren 	想骂人	c=1 d=1 t=63030
xiang mai 	想买	c=4 d=1 t=211089
xiang ming bai 	想明白	c=2 d=1 t=250283
xiang mu 	项目	c=72 d=1.00039 t=265598
xiang mu bu 	项目部	c=2 d=1.97531 t=265624
xiang ni 	向你	c=9 d=1.1367 t=43143
xiang ni 	想你	c=207 d=1 t=269580
xiang ni la 	想你啦	c=3 d=1 t=161611
xiang ni o 	想你哦	c=2 d=1 t=98248
xiang ou meng 	向欧盟	c=1 d=1 t=52788
xiang pian zhi 	相片纸	c=1 d=1 t=181491
xiang qi 	想起	c=27 d=1 t=249804
xiang qi lai 	想起来	c=7 d=1 t=126995
xiang qian 	向前	c=5 d=1 t=266491
